1,2022-01-12,セルゲーム,勇気を振り絞って一緒に戦ってくれてありがとう！,3,2,6
2,2022-01-14,電力小売の仕組み,大変分かりやすく教えてくれてありがとう！,5,2,4
3,2022-01-19,気功砲,あの時命が賭けで気功砲を打ってくれなかったらやばかったです。ありがとう！,5,4,9
3,2022-01-27,地球を守ること,地球を守ってくれてありがとう！,5,1,1
7,2022-01-05,買い物,一緒に買い物付き合ってくれてありがとう,4,1,1
8,2022-01-14,組手,久しぶりに組手して楽しかったです！,3,1,1
2,2022-01-12,アルバイト,父さん、そろそろアルバイトしてください,1,1,1
,,,,,,
11,2022-01-07,DVD,貸したDVDを返却ありがとう,3,1,1
1,2022-01-13,電力小売の仕組み,電力小売の仕組みを教えてくれてありがとう,3,2,4
,,,,,,
6,2022-01-13,セルゲーム,本当にいい戦いだった,4,1,1
2,2022-01-12,BBQ,BBQ準備ありがとうございました！,3,1,4
7,2022-01-18,ブウ戦,最後は正義の心で戦ってくれてありがとう,3,2,4
4,2022-01-20,スーパーサイヤ人2,スーパーサイヤ人2へのヒントを教えてくれてありがとう,5,2,1
1,2022-01-13,飯,うまい飯ありがとう！また行こう！！,3,1,2
4,2022-01-12,ありがとう,ありがとう,4,1,1
8,2022-01-28,太陽拳,太陽拳を教えてくれてありがとう！,5,1,1
1,2022-01-21,EVを活用した消費者の行動変容について,消費者のEVに対する意識、充電のペインポイントがよくわかった。,4,1,2
7,2022-01-21,第６次エネルギー基本計画,再エネ比率にかかる目標と障壁をより深く教えていただきありがとうございました。,2,1,1
1,2022-01-14,水力開発,水力開発の現場の話がよくわかった,2,1,2
